Type of Incident,Frequency,rNIBRS Group,rNIBRS Crime Category,Has_victim
"THEFT OF PROP (ATT) > OR EQUAL $750 BUT <$2,500 (NOT EMP)",24,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) $100 BUT <$750 ENH  -(BY EMP),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) $100 BUT <$750 ENH - (NOT EMP,36,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) $50 BUT <$500 ENH  -(BY EMP),3,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) $50 BUT <$500 ENH - (NOT EMP,52,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) $500 BUT <$1500 ENH  -(BY EMP),6,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) $500 BUT <$1500 ENH - (NOT EMP),48,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) $750 BUT <$2500 ENH - (NOT EMP),34,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) < $50-W/ 2+ CONV (NOT EMP),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) <$100  - (BY EMPLOYEE),3,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),5592,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) <$100 ENH - (NOT EMP),3,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) <$100 ENH (BY EMP) PC31.03(f),3,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) <$100 ENH (NOT EMP) PC31.03(f),4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) <$100 W/PREV CONV (EMP) PC31.03 (e2B),1,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) <$2,500 2+ PREV CONV (NOT  EMP) PC31.03 (e4D)",1,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) <$2,500 2+ PREV CONV (NOT  EMP)(P.C. 31.03 E4D)",1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) <$50  - (BY EMPLOYEE),2,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) <$50 - (NOT EMP),654,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) <$50 ENH - (NOT EMP),6,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $1,500 BUT <$20K(BY EMP",16,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $1,500 BUT<$20K (NOT EMP",749,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (EMP) PC31.03(e2A),56,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),2526,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 BUT <$750-(BY EMP,28,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 BUT<$750(NOT EMP,1778,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $1500 BUT<$20K ENH(BY EMP),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $1500 BUT<$20K ENH(NOT EMP),26,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $150K <$300K (NOT EMP) PC 31.03(e6A),4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $150K <$300K ENH (NOT EMP) PC31.03(f),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $150K<$300K -(BY EMP),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $150K<$300K -(NOT EMP),1,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",1610,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K ENH (NOT EMP) PC31.03(f)",14,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K(EMP) PC31.03(e4A)",16,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 BUT <$30K(BY EMP",17,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 BUT<$30K (NOT EMP",906,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $200K - (NOT EMP),3,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $20K<$100K  - (BY EMP),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $20K<$100K - (NOT  EMP,4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $20K<$100K ENH - (NOT EMP,1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $2500 BUT<$30K ENH(BY EMP),4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $2500 BUT<$30K ENH(NOT EMP),11,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $300K - (NOT EMP),2,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $300K (NOT EMP) PC31.03(e7),2,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $30K <$150K (NOT EMP) PC31.03(e5),10,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $30K<$150K  - (BY EMP),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $30K<$150K - (NOT  EMP,6,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $50 BUT <$500-(BY EMP,9,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) > OR EQUAL $50 BUT<$500(NOT EMP,576,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $500 BUT <$1,500 (NOT EMP",822,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $500 BUT <$1,500-(BY EMP",22,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (EMP) PC31.03(e3)",18,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",3030,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 ENH (EMP) PC31.03(f)",3,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 ENH (NOT EMP) PC 31.03(f)",17,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 BUT <$2,500 (NOT EMP",1704,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 BUT <$2,500-(BY EMP",13,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) >OR EQUAL $100 <$750 ENH (EMP) PC31.03(f),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (AUTO ACC) >OR EQUAL $100 <$750 ENH (NOT EMP) PC31.03(f),24,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP <$1,500  2/MORE PREV CONV (BY EMP)",1,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP <$1,500 2/MORE PREV CONV - NOT SHOPLIFT",32,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP <$1,500 2+ PREV CONVIC -SHOPLFT-(NOT EMP)",188,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,6169,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 (BY EMPLOYEE),156,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 ENH (EMPLOYEE) PC31.03(f),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 ENH (NOT SHOPLIFT) PC31.03(f),5,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 ENH (SHOPLIFT-NOT EMP) PC31.03(f),7,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 ENH -NOT SHOPLIFT,4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 ENH -SHOPLIFTING -  (NOT BY EMP),11,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 -SHOPLIFTING - (NOT BY EMPLOYEE),1778,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 W/PREV CONV (EMPLOYEE) PC31.03(e2B),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 W/PREV CONV (NOT SHOPLIFT) PC31.03(e2B),4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 W/PREV CONV (SHOPLIFT-NOT EMP) PC31.03(e2B),18,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 W/PREV CONV ENH (NOT SHOPLIFT) PC31.03(f),5,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 W/PREV CONV ENH (SHOPLIFT-NOT EMP) PC31.03(f),7,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 W/PREV CONV ENH -SHOPLIFT -  (NOT BY EMP,11,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100 W/PREV CONVIC -SHOPLIFT-(NOT BY EMP),2,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100-OTH THAN SHOPLIFT W/PREV CONVIC ENH,2,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$100-OTH THAN SHOPLIFT-W/PREV CONV,4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$1500 2+ CONV ENH  - NOT SHOPLIFT,11,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$1500 2+ CONV ENH-SHOPLIFT - (NOT EMP),58,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP <$2,500 2+CONV ENH (NOT SHOPLIFT) PC31.03(f)",12,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP <$2,500 2+CONV ENH (SHOPLIFT-NOT EMP) PC31.03(f)",65,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP <$2,500 2+PREV CONV (EMPLOYEE) PC31.03(e4D)",3,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP <$2,500 2+PREV CONV (NOT SHOPLIFT) PC31.03 (e4D)",39,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP <$2,500 2+PREV CONV (SHOPLFT-NOT EMP) PC31.03(e4D)",178,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$2500  2/MORE PREV CONV (BY EMP),3,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$2500 2/MORE PREV CONV - NOT SHOPLIFT,36,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$2500 2+ CONV ENH  - NOT SHOPLIFT,11,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$2500 2+ CONV ENH-SHOPLIFT - (NOT EMP),86,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$2500 2+ PREV CONVIC -SHOPLFT-(NOT EMP),167,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$300K ATM,23,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$50 - OTHER THAN SHOPLIFT,769,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$50 (BY EMPLOYEE),17,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$50 ENH (BY EMPLOYEE),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$50 ENH -NOT SHOPLIFT,2,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$50 ENH -SHOPLIFTING -  (NOT BY EMP),30,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$50 -SHOPLIFTING - (NOT BY EMPLOYEE),239,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$50 W/PREV CONV ENH -SHOPLIFT -  (NOT BY EMP,6,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP <$50 W/PREV CONVIC -SHOPLIFT-(NOT BY EMP),8,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $1,500 BUT  <$20K (BY EMPLOYEE)",178,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $1,500 BUT <$20K- NOT SHOPLIFT",1650,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $1,500 BUT <$20K -SHOPLIFT(NOT EMP",175,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $100 <$750 (EMPLOYEE) PC31.03(e2A),340,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),8932,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),3451,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $100 <$750 ENH (EMPLOYEE) PC31.03(f),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $100 <$750 ENH (NOT SHOPLIFT) PC31.03(f),42,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $100 <$750 ENH (SHOPLIFT-NOT EMP) PC31.03(f),81,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $100 BUT <$750 (BY EMPLOYEE),387,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $100 BUT <$750- NOT SHOPLIFT,7034,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $100 BUT <$750 -SHOPLIFT (NOT EMP,2136,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $100K<$200K (BY EMPLOYEE),7,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $100K<$200K-OTHER THAN SHOPLIFT,27,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $1500 BUT <$20K ENH (BY EMPLOYEE),5,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $1500 BUT <$20K ENH -NOT SHOPLIFT,27,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $1500 BUT <$20K ENH -SHOPLIFT-(NOT EMP,5,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $150K <$300K (EMPLOYEE) PC31.03(e6A),7,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $150K <$300K (NOT SHOPLIFT) PC31.03(e6A),43,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $150K <$300K (SHOPLIFT-NOT EMP) PC31.03(e6A),3,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $150K <$300K ENH (NOT SHOPLIFT) PC31.03(f),2,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $150K <$300K ENH (SHOPLIFT-NOT EMP) PC31.03(f),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $150K<$300K (BY EMPLOYEE),18,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $150K<$300K ENH-NOT SHOPLIFT,1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $150K<$300K -SHOPLIFT  (NOT EMP),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $150K<$300K-OTHER THAN SHOPLIFT,30,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $2,500 <$30K (EMPLOYEE) PC31.03(e4A)",289,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",4688,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",673,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $2,500 <$30K ENH (EMPLOYEE) PC31.03(f)",2,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $2,500 <$30K ENH (NOT SHOPLIFT) PC31.03(f)",38,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $2,500 BUT  <$30K (BY EMPLOYEE)",324,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $2,500 BUT <$30K- NOT SHOPLIFT",2461,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $2,500 BUT <$30K -SHOPLIFT(NOT EMP",226,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $20 BUT <$500 BY CHECK,8,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $20 BUT <$500 BY CHECK ENH,1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $200K (BY EMPLOYEE),5,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $200K-OTHER THAN SHOPLIFT,8,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $20K<$100K (BY EMPLOYEE),32,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $20K<$100K ENH- NOT SHOPLIFT,5,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $20K<$100K- NOT SHOPLIFT,203,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $20K<$100K SHOPLIFT (NOT BY EMP),9,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $2500 <$30K ENH (SHOPLIFT-NOT EMP) PC31.03f),3,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $2500 BUT <$30K ENH (BY EMPLOYEE),4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $2500 BUT <$30K ENH -NOT SHOPLIFT,25,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $2500 BUT <$30K ENH -SHOPLIFT-(NOT EMP,5,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $300K (BY EMPLOYEE),8,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $300K (EMPLOYEE) PC31.03(e7),11,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $300K (NOT SHOPLIFT) PC 31.03(e7),13,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $300K (SHOPLIFT-NOT BY EMP) PC31.03(e7),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $300K-OTHER THAN SHOPLIFT,5,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $30K <$150K (EMPLOYEE) PC31.03(e5),47,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),529,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $30K <$150K (SHOPLIFT-NOT EMP) PC31.03(e5),12,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $30K <$150K ENH (EMPLOYEE) PC31.03(f),3,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $30K <$150K ENH (NOT SHOPLIFT) PC31.03(f),6,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $30K<$150K (BY EMPLOYEE),62,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $30K<$150K ENH (BY EMPLOYEE),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $30K<$150K ENH- NOT SHOPLIFT,3,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $30K<$150K- NOT SHOPLIFT,297,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $30K<$150K SHOPLIFT (NOT BY EMP),4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $50 BUT <$500 (BY EMPLOYEE),164,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $50 BUT <$500- NOT SHOPLIFT,3207,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP > OR EQUAL $50 BUT <$500 -SHOPLIFT (NOT EMP,2102,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $500 BUT <$1,500 (BY EMPLOYEE)",137,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $500 BUT <$1,500 (NOT SHOPLIFT)",1983,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $500 BUT <$1,500 -SHOPLIFT (NOT EMP",429,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $750 <$2,500 (EMPLOYEE) PC 31.03(e3)",300,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",5815,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $750 <$2,500 (SHOPLIFT-NOT EMP) PC31.03(e3)",1369,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $750 <$2,500 ENH (NOT SHOPLIFT) PC31.03(f)",30,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $750 <$2,500 ENH (SHOPLIFT-NOT EMP) PC31.03(f)",17,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $750 BUT <$2,500 (BY EMPLOYEE)",295,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $750 BUT <$2,500 (NOT SHOPLIFT)",3042,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP > OR EQUAL $750 BUT <$2,500 -SHOPLIFT (NOT EMP",709,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP >$100 BUT <$750 ENH -SHOPLIFT - NOT BY EMP,53,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP >$50 BUT <$500 ENH -SHOPLIFT - NOT BY EMP,147,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP >$500 BUT <$1500 ENH -SHOPLIFT-NOT BY EMP,19,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP >$750 BUT <$2500 ENH -SHOPLIFT-NOT BY EMP,14,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP GRAVE/HUMAN CORPSE/MILITARY MARKER,1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE (ATT) < $100,8,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE (ATT) < $20,6,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF SERVICE (ATT) > OR EQUAL $1,500 BUT <$20K",2,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE (ATT) > OR EQUAL $100 <$750 PC31.04(e2),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE (ATT) > OR EQUAL $20 BUT <$500,7,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE (ATT) > OR EQUAL $300K PC31.04(e7),1,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF SERVICE (ATT) > OR EQUAL $500 BUT <$1,500",2,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE < $100,1197,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE < $20,94,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE > $200K,1,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF SERVICE > OR EQUAL $1,500 BUT <$20K",94,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE > OR EQUAL $100 <$750 PC31.04(e2),296,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE > OR EQUAL $100 BUT <$750,207,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE > OR EQUAL $100K BUT <$200K,1,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF SERVICE > OR EQUAL $2,500 <$30K PC31.04(e4)",212,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF SERVICE > OR EQUAL $2,500 BUT <$30K",107,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE > OR EQUAL $20 BUT <$500,391,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE > OR EQUAL $20K BUT <$100K,2,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE > OR EQUAL $30K <$150K PC31.04(e5),21,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE > OR EQUAL $30K BUT <$150K,1,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF SERVICE > OR EQUAL $500 BUT <$1,500",48,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF SERVICE > OR EQUAL $750 <$2,500 PC31.04(e3)",138,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF SERVICE > OR EQUAL $750 BUT <$2,500",145,A,LARCENY/ THEFT OFFENSES,1
THEFT OF SERVICE -PRELIMINARY INVESTIGATION,13,A,LARCENY/ THEFT OFFENSES,1
THEFT OF TRADE SECRETS,1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF U.S. MAIL,59,A,LARCENY/ THEFT OFFENSES,1
"THEFT ORG RETAIL - (BY EMP) > OR EQUAL $150,000<$300,000",2,A,LARCENY/ THEFT OFFENSES,1
"THEFT ORG RETAIL - (BY EMP) > OR EQUAL $20,000<$100,000",1,A,LARCENY/ THEFT OFFENSES,1
"THEFT ORG RETAIL - (BY EMP) > OR EQUAL $30,000<$150,000",1,A,LARCENY/ THEFT OFFENSES,1
THEFT ORG RETAIL - (BY EMP) EQUAL $50<$500,1,A,LARCENY/ THEFT OFFENSES,1
THEFT ORG RETAIL - (NOT EMP) EQUAL $100<$750,4,A,LARCENY/ THEFT OFFENSES,1
THEFT ORG RETAIL - (NOT EMP) EQUAL $50<$500,4,A,LARCENY/ THEFT OFFENSES,1
"THEFT ORG RETAIL -(BY EMP) >$1500<$20,000",5,A,LARCENY/ THEFT OFFENSES,1
