Type of Incident,Frequency,rNIBRS Group,rNIBRS Crime Category,Has_victim
CRUELTY NON-LIVESTK ANIM:TORTURE/KILL/POISON/SBI PREV CONV,2,A,ANIMAL OFFENSES,0
CRUELTY NON-LIVESTOCK ANIMALS - PRELIMINARY INVESTIGATION,205,A,ANIMAL OFFENSES,0
CRUELTY TO LIVESTK ANIM FAIL TO PROVIDE,18,A,ANIMAL OFFENSES,0
CRUELTY TO LIVESTK ANIM TORTURE,10,A,ANIMAL OFFENSES,0
CRUELTY TO LIVESTK ANIM: FAILURE TO PROVIDE FOR,17,A,ANIMAL OFFENSES,0
CRUELTY TO LIVESTK ANIM-FAIL TO PROVIDE-W/2 PREV CON,1,A,ANIMAL OFFENSES,0
CRUELTY TO LIVESTK ANIM-TORTURE,33,A,ANIMAL OFFENSES,0
CRUELTY TO LIVESTOCK ANIM NEGLECT/OVERWORK,1,A,ANIMAL OFFENSES,0
CRUELTY TO LIVESTOCK ANIMALS - PRELIMINARY INVESTIGATION,14,A,ANIMAL OFFENSES,0
CRUELTY TO NON-LIVESTOCK ANIMALS FAILURE TO PROVIDE FOR,215,A,ANIMAL OFFENSES,0
CRUELTY TO NON-LIVESTOCK ANIMALS TORTURE,180,A,ANIMAL OFFENSES,0
CRUELTY TO NON-LIVESTOCK ANIMALS: FAILURE TO PROVIDE FOR,325,A,ANIMAL OFFENSES,0
CRUELTY TO NON-LIVESTOCK ANIMAL-TORTURE,288,A,ANIMAL OFFENSES,0
CRUELTY TO NON-LIVESTOCK ANMLS FAIL PROV/ABDN/TRNSPT/BI/OVWK,127,A,ANIMAL OFFENSES,0
CRUELTY TO NON-LVSTK ANMLS FAIL PROV/ABDN/TRNSPT/BI/OVWK 2 CV,4,A,ANIMAL OFFENSES,0
CURFEW VIOLATION,1,B,ALL OTHER OFFENSES,0
DEADLY CONDUCT,3976,A,ASSAULT OFFENSES,1
DEADLY CONDUCT DISCHARGE FIREARM,904,A,ASSAULT OFFENSES,1
DEADLY CONDUCT-FAM VIOL-DISCHARGE FIREARM,1,A,ASSAULT OFFENSES,1
DEADLY CONDUCT-PRELIMINARY INVESTIGATION,276,A,ASSAULT OFFENSES,1
DECEPTIVE BUS PRACTICE W/PREV CONV/INTEN/KNOW/REC,1,A,FRAUD OFFENSES,1
DECEPTIVE BUSINESS PRACTICE,31,A,FRAUD OFFENSES,1
DECEPTIVE BUSINESS PRACTICE-CRIM NEG,3,A,FRAUD OFFENSES,1
DECEPTIVE TRADE PRACTICE,20,A,FRAUD OFFENSES,1
DECEPTIVELY SIMILAR REGISTRATION INSIGNIA (MAN/SELL),1,B,ALL OTHER OFFENSES,1
DELIVERY MARIJUANA < OR EQUAL 1/4 OZ,72,A,DRUG/ NARCOTIC VIOLATIONS,0
DELIVERY MARIJUANA < OR EQUAL 1/4 OZ *DRUG FREE ZONE*,10,A,DRUG/ NARCOTIC VIOLATIONS,0
DELIVERY MARIJUANA < OR EQUAL 1/4 OZ REMUN *DRUG FREE ZONE*,11,A,DRUG/ NARCOTIC VIOLATIONS,0
DELIVERY MARIJUANA < OR EQUAL 1/4 OZ REMUNERATION,27,A,DRUG/ NARCOTIC VIOLATIONS,0
DELIVERY MARIJUANA >1/4 OZ< OR EQUAL 5LBS,40,A,DRUG/ NARCOTIC VIOLATIONS,0
DELIVERY MARIJUANA >1/4 OZ< OR EQUAL 5LBS *DRUG FREE ZONE*,12,A,DRUG/ NARCOTIC VIOLATIONS,0
"DELIVERY MARIJUANA >50LBS< OR EQUAL 2,000LBS",1,A,DRUG/ NARCOTIC VIOLATIONS,0
DELIVERY MARIJUANA >5LBS< OR EQUAL 50LBS,1,A,DRUG/ NARCOTIC VIOLATIONS,0
DESECRATION OF CEMETERY,1,B,ALL OTHER OFFENSES,0
DISCHARGE FIREARM IN CERTAIN MUNICIPALITIES,1067,A,WEAPON LAW VIOLATIONS,1
DISORDERLY CONDUCT,606,B,DISORDERLY CONDUCT,1
DISORDERLY CONDUCT - PEEPING TOM,14,B,DISORDERLY CONDUCT,1
DISORDERLY CONDUCT +3 PRIORS,1,B,DISORDERLY CONDUCT,1
DISORDERLY CONDUCT DISCHARGE/DISPLAY FIREARM,312,A,WEAPON LAW VIOLATIONS,1
DISRUPT MEETING OR PROCESSION,2,B,DISORDERLY CONDUCT,1
DOG BITE - INJURED PERSON,1333,A,ANIMAL OFFENSES,1
DOG FIGHTING -,7,A,ANIMAL OFFENSES,1
DOG FIGHTING - PRELIMINARY INVESTIGATION,1,A,ANIMAL OFFENSES,1
DRIVING UNDER INFLUENCE MINOR 3RD-ENH,3,B,DRIVING UNDER THE INFLUENCE,0
DUTY ON STRIKE UNATTENDED (PARKED) VEHICLE,1501,C,MISCELLANEOUS,1
DWI,4765,B,DRIVING UNDER THE INFLUENCE,0
DWI 1 PREV CONV,910,B,DRIVING UNDER THE INFLUENCE,0
DWI 2 OR MORE PREV CONV,481,B,DRIVING UNDER THE INFLUENCE,0
DWI BAC > OR EQUAL TO 0.15,315,B,DRIVING UNDER THE INFLUENCE,0
DWI W/CHILD UNDER 15 YOA,12,B,DRIVING UNDER THE INFLUENCE,0
DWI W/OPEN CONTAINER,478,B,DRIVING UNDER THE INFLUENCE,0
DWI W/PREV INTOXICATED MANSLAUGHTER CONVICTION,1,B,DRIVING UNDER THE INFLUENCE,0
ELECTR DATA TAMPER FRAUD/HARM > OR EQUAL $30K<$150K IAT,1,A,FRAUD OFFENSES,1
ELECTRONIC ACCESS INTERFERENCE,1,A,FRAUD OFFENSES,1
ENGAGING IN ORGANIZED CRIMINAL ACTIVITY F1,5,B,ALL OTHER OFFENSES,1
ENGAGING IN ORGANIZED CRIMINAL ACTIVITY F2,1,B,ALL OTHER OFFENSES,1
ENGAGING IN ORGANIZED CRIMINAL ACTIVITY F3,7,B,ALL OTHER OFFENSES,1
ENGAGING IN ORGANIZED CRIMINAL ACTIVITY FS,6,B,ALL OTHER OFFENSES,1
ENGAGING IN ORGANIZED CRIMINAL ACTIVITY MA,1,B,ALL OTHER OFFENSES,1
ENGAGING IN ORGANIZED CRIMINAL ACTIVITY MB,3,B,ALL OTHER OFFENSES,1
ESCAPE FROM CUSTODY,22,B,ALL OTHER OFFENSES,0
ESCAPE WHILE ARRESTED/CONFINED FELONY,9,B,ALL OTHER OFFENSES,0
EVADING ARREST DET TIRE DEFLA DEV AGAINST OFFICER PC 38.04(b2C),3,B,ALL OTHER OFFENSES,0
EVADING ARREST DET W/VEH W/ PREV CONV OR S.B.I.,21,B,ALL OTHER OFFENSES,0
